text,label
"剧情紧凑，演员演技自然，看得很过瘾",1
"这是一部很有诚意的电影，细节处理得很漂亮",1
"画面和配乐都很棒，值得去电影院看",1
"笑点自然，最后的反转让我很惊喜",1
"故事虽然简单，但情感真挚，非常感人",1
"导演把人物刻画得很立体，推荐大家观看",1
"节奏明快，全程没有尿点",1
"特效震撼，剧情也比预期精彩",1
"演员之间的化学反应很好，看完心情很好",1
"这部片子有深度，值得二刷",1
"台词幽默又有力量，是近期最喜欢的电影",1
"虽然篇幅很长，但一点也不觉得拖沓",1
"镜头语言很有美感，故事完整流畅",1
"合家欢电影，孩子和大人都看得开心",1
"结局温暖治愈，离开影院还在回味",1
"主角表演细腻，几个场景让我感动落泪",1
"设定新颖，悬念保持到最后一刻",1
"国产电影能拍成这样真的不错",1
"配角也很出彩，每个人物都有记忆点",1
"节奏拖沓，演员演得也很生硬",0
"剧情漏洞太多，完全看不下去",0
"特效很廉价，像在看十年前的电视剧",0
"故事毫无新意，看到开头就猜到结局",0
"两个小时都在铺垫，实在太无聊了",0
"人物行为莫名其妙，逻辑根本说不通",0
"台词尴尬，笑点一点也不好笑",0
"导演想表达很多，最后却什么都没有讲清楚",0
"演员面无表情，完全没有代入感",0
"配乐吵得让人头疼，影响观影体验",0
"剪辑混乱，很多情节接不上",0
"宣传说得很好，实际内容让人失望",0
"结尾仓促，前面的伏笔全都浪费了",0
"看了一半就想离场，不值得花钱",0
"人物塑造单薄，没有一个角色让人喜欢",0
"节奏慢得令人发困，剧情又很空洞",0
"这是我今年看过最失望的一部电影",0
"特效五毛，打斗场面毫无质感",0
"故弄玄虚，最后的解释非常牵强",0
"一点也不好笑，尴尬得我想离场",0
"演员演得并不自然，台词也很生硬",0
"这个故事没有任何亮点，实在不值得推荐",0
"不是节奏慢的问题，是剧情根本没有内容",0
"画面并不好看，特效也没有想象中震撼",0
"我一点都不喜欢这些角色，人物关系很突兀",0
"结局没有解释清楚，前面的铺垫全白费了",0
"虽然演员有名，但表演并没有打动我",0
"并不拖沓，两个小时看得很投入",1
"没有让我失望，故事比预告片更精彩",1
"一点也不无聊，每个情节都扣人心弦",1
"不是只有特效好，人物和剧情也很出色",1
"虽然节奏不快，但情感铺垫很自然",1
"没有多余的镜头，叙事干净又完整",1
"结局并不仓促，所有伏笔都得到了回应",1
"我原本不看好，但看完后非常喜欢",1
